date,ticker,simple_sector,sector_33,action,price,shares,reason,cash_after
2026-01-23,5105.T,ゴム/タイヤ・ゴム,ゴム製品,SELL,4446.0,200,sell_signal,54521.50000000012
2026-01-26,7184.T,銀行/地方銀行,銀行業,SELL,2285.0,500,stop_loss,1197021.5
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2319.275,800,buy_breakout_up,-658398.5
2026-01-27,3388.T,卸売/電子部品・産業用電子機器,卸売業,SELL,2365.0,100,sell_signal,-421898.5
2026-01-27,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1059.0,500,sell_signal,107601.5
2026-01-28,9405.T,大幅増額/情報通信,情報・通信業,SELL,813.0,500,stop_loss,514101.5
2026-01-28,9531.T,225/電気ガス,電気・ガス業,SELL,6682.759999999999,100,early_take_profit_top,1182377.5
2026-02-02,1938.T,建設/設備工事,建設業,BUY,2328.0,100,buy_breakout_up,949577.5
2026-02-02,3352.T,小売/他消費財小売り,小売業,BUY,1650.0,100,buy_breakout_up,784577.5
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3176.95,100,buy_breakout_up,466882.5
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,BUY,842.4499999999999,500,buy_breakout_up,45657.50000000006
2026-02-03,9405.T,大幅増額/情報通信,情報・通信業,SELL,844.0,500,sell_signal,467657.50000000006
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,100,buy_breakout_up,319873.50000000006
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.0,2100,buy_breakout_up,-1956526.5
2026-02-05,7184.T,銀行/地方銀行,銀行業,SELL,2460.0,800,sell_signal,11473.5
2026-02-06,1938.T,建設/設備工事,建設業,SELL,2526.0,100,take_profit,264073.5
2026-02-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3440.0,100,take_profit,608073.5
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,300,buy_breakout_up,110520.50000000006
2026-02-17,3352.T,小売/他消費財小売り,小売業,SELL,1990.0,100,take_profit,309520.50000000006
2026-02-18,3289.T,225/不動産,不動産業,SELL,1535.1874999999998,100,early_take_profit_top,463039.25
2026-02-24,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1136.8,2100,early_take_profit_top,2850319.25
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,700,buy_breakout_up,1327717.75
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,500,buy_breakout_up,83835.25
2026-03-03,1768.T,建設/建設・土木,建設業,SELL,1590.225,300,early_stop_top,560902.75
2026-03-03,1879.T,建設/建設・土木,建設業,SELL,2082.6,700,early_stop_top,2018722.75
2026-03-03,4619.T,化学/タイヤ・ゴム,化学,SELL,2408.25,500,early_stop_top,3222847.75
2026-03-05,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,8110.0,100,buy_breakout_up,2411847.75
2026-03-05,8393.T,銀行/地方銀行,銀行業,BUY,9220.0,200,buy_breakout_up,567847.75
2026-03-06,7456.T,卸売/非鉄金属・金属製品,卸売業,SELL,7900.0,100,sell_signal,1357847.75
2026-03-06,8393.T,銀行/地方銀行,銀行業,SELL,9270.0,200,sell_signal,3211847.75
2026-03-10,5714.T,225/非鉄金属,非鉄金属,BUY,9811.0,200,buy_breakout_up,1249647.75
2026-03-10,8393.T,銀行/地方銀行,銀行業,BUY,8880.0,100,buy_breakout_up,361647.75
2026-03-10,5714.T,225/非鉄金属,非鉄金属,SELL,10055.0,200,end_of_backtest,2372647.75
2026-03-10,8393.T,銀行/地方銀行,銀行業,SELL,9170.0,100,end_of_backtest,3289647.75
