date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-02-04,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,887.1099999999999,100,2827831.5,0.522714638991213,0.5929732355594488,0.13293282157730016,2026-02-03,buy_breakout_up
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,100,2680047.5,0.45919240577491205,0.5929732355594488,0.11618401788863675,2026-02-03,buy_breakout_up
2026-02-05,6343.T,機械/住宅建設,機械,SELL,188.0,500,2774047.5,0.5986237389806351,,,2026-02-04,sell_signal
2026-02-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,887.0,100,2862747.5,0.49559769080977034,,,2026-02-04,sell_signal
2026-02-05,3289.T,225/不動産,不動産業,SELL,1494.0,100,3012147.5,0.4296488749012278,,,2026-02-04,sell_signal
2026-02-06,6343.T,機械/住宅建設,機械,BUY,190.82,400,2935819.5,0.5905338969345831,-0.025219072393821346,0.07047099760971356,2026-02-05,buy_breakout_up
2026-02-06,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,900.305,100,2845789.0,0.5090803250325203,-0.025219072393821346,0.1699350675592406,2026-02-05,buy_breakout_up
2026-02-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.02,100,2737387.0,0.36409144295925244,-0.025219072393821346,0.12668630775097728,2026-02-05,buy_breakout_up
2026-02-09,6343.T,機械/住宅建設,機械,SELL,193.0,400,2814587.0,0.5754614514361804,,,2026-02-06,sell_signal
2026-02-09,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,909.0,100,2905487.0,0.5092478858209372,,,2026-02-06,sell_signal
2026-02-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1093.0,100,3014787.0,0.360895401979503,,,2026-02-06,sell_signal
2026-02-10,6343.T,機械/住宅建設,機械,BUY,195.89499999999998,400,2936429.0,0.6320747271013935,0.8518862528382297,0.09695906309001254,2026-02-09,buy_breakout_up
2026-02-10,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,922.6349999999999,100,2844165.5,0.5692157503911883,0.8518862528382297,0.16475400946867888,2026-02-09,buy_breakout_up
2026-02-10,4977.T,化学/食品,化学,BUY,1297.1699999999998,100,2714448.5,0.5354206097336263,0.8518862528382297,0.1023587269607823,2026-02-09,buy_breakout_up
2026-02-10,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1109.395,100,2603509.0,0.4029884662796754,0.8518862528382297,0.0337120894326091,2026-02-09,buy_breakout_up
2026-02-12,6343.T,機械/住宅建設,機械,SELL,214.0,400,2689109.0,0.6927952633295291,,,2026-02-10,take_profit
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,1600,35493.000000000466,0.742013177838971,0.4673561315666924,0.03229760528024003,2026-02-10,buy_breakout_up
2026-02-16,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,940.0,100,129493.00000000047,0.534974220838685,,,2026-02-13,sell_signal
2026-02-16,4977.T,化学/食品,化学,SELL,1380.0,100,267493.00000000047,0.49302908068141393,,,2026-02-13,sell_signal
2026-02-16,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1130.0,100,380493.00000000047,0.3628227788441731,,,2026-02-13,sell_signal
2026-02-16,1768.T,建設/建設・土木,建設業,SELL,1687.0,1600,3079693.0000000005,0.5469930688638158,,,2026-02-13,sell_signal
2026-02-18,7887.T,その他製品/住宅設備・機器,その他製品,BUY,12460.0,200,587693.0000000005,0.7560279176761887,-0.0027471108230116134,0.00018498337683382004,2026-02-17,buy_breakout_up
2026-02-20,7887.T,その他製品/住宅設備・機器,その他製品,SELL,12170.0,200,3021693.0000000005,0.7958558114945097,,,2026-02-19,sell_signal
2026-02-26,8600.T,銀行/地方銀行,銀行業,BUY,960.1899999999999,100,2925674.0000000005,0.6594733358760829,0.6714861726531799,0.1027882327996568,2026-02-25,buy_breakout_up
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,500,1681791.5000000005,0.49377109542082137,0.7648902788726527,0.06543591557611947,2026-02-26,buy_breakout_up
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,700,159190.00000000047,0.4273037798049281,0.7648902788726527,0.1785153855493493,2026-02-26,buy_breakout_up
2026-03-02,8600.T,銀行/地方銀行,銀行業,SELL,937.0,100,252890.00000000047,0.635128795115115,,,2026-02-27,sell_signal
2026-03-02,4619.T,化学/タイヤ・ゴム,化学,SELL,2470.0,500,1487890.0000000005,0.4925820847377179,,,2026-02-27,sell_signal
2026-03-02,1879.T,建設/建設・土木,建設業,SELL,2136.0,700,2983090.0000000005,0.41528525439859454,,,2026-02-27,sell_signal
