date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-02-04,7722.T,精密機器/自動車部品,精密機器,BUY,1011.9549999999999,100,895407.0,0.6251162967288684,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-04,8387.T,銀行/地方銀行,銀行業,BUY,2146.725,100,680734.5,0.6175466037773396,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-04,3289.T,225/不動産,不動産業,BUY,1477.84,100,532950.5,0.4350569528654446,0.0,0.0,2026-02-03,buy_breakout_up
2026-02-05,7184.T,銀行/地方銀行,銀行業,SELL,2460.0,200,1024950.5,0.7837235720815908,,,2026-02-04,sell_signal
2026-02-05,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1084.0,900,49350.5,0.3651726030277763,0.0,0.0,2026-02-04,buy_breakout_up
2026-02-06,1938.T,建設/設備工事,建設業,SELL,2526.0,100,301950.5,0.4818995578602524,,,2026-02-05,take_profit
2026-02-09,7722.T,精密機器/自動車部品,精密機器,SELL,1093.0,100,411250.5,0.6518675826184646,,,2026-02-06,take_profit
2026-02-09,8387.T,銀行/地方銀行,銀行業,SELL,2383.0,100,649550.5,0.6955005050890968,,,2026-02-06,take_profit
2026-02-10,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3440.0,100,993550.5,0.4313113446930446,,,2026-02-09,take_profit
2026-02-10,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,4285.0,200,1850550.5,0.5363542666462465,,,2026-02-09,take_profit
2026-02-10,1718.T,建設/建設・土木,建設業,BUY,9581.599999999999,100,892390.5000000001,0.542462375103981,0.0,0.0,2026-02-09,buy_breakout_up
2026-02-12,1768.T,建設/建設・土木,建設業,BUY,1658.5099999999998,500,63135.50000000023,0.7244132145758443,0.0,0.0,2026-02-10,buy_breakout_up
2026-02-16,1718.T,建設/建設・土木,建設業,SELL,8250.0,100,888135.5000000002,0.5658982438794022,,,2026-02-13,stop_loss
2026-02-17,3352.T,小売/他消費財小売り,小売業,SELL,1990.0,200,1286135.5000000002,0.43629114930116547,,,2026-02-16,take_profit
2026-02-18,3289.T,225/不動産,不動産業,SELL,1533.5,100,1439485.5000000002,0.42174976666000935,,,2026-02-17,early_take_profit_top
2026-02-18,7887.T,その他製品/住宅設備・機器,その他製品,BUY,12460.0,100,193485.50000000023,0.7561223740647731,0.0,0.0,2026-02-17,buy_breakout_up
2026-02-20,7887.T,その他製品/住宅設備・機器,その他製品,SELL,12170.0,100,1410485.5000000002,0.7820557513998079,,,2026-02-19,sell_signal
2026-02-26,8387.T,銀行/地方銀行,銀行業,BUY,2338.0,100,1176685.5000000002,0.6772529414065078,0.0,0.0,2026-02-25,buy_breakout_up
2026-02-26,8344.T,銀行/地方銀行,銀行業,BUY,2657.2699999999995,100,910958.5000000002,0.6541993932259994,0.0,0.0,2026-02-25,buy_breakout_up
2026-02-27,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1173.0,900,1966658.5000000002,0.4002736045903167,,,2026-02-26,take_profit
2026-02-27,4619.T,化学/タイヤ・ゴム,化学,BUY,2487.765,300,1220329.0000000002,0.464664583407579,0.0,0.0,2026-02-26,buy_breakout_up
2026-02-27,1879.T,建設/建設・土木,建設業,BUY,2175.145,500,132756.50000000023,0.39548336051232824,0.0,0.0,2026-02-26,buy_breakout_up
2026-03-03,1768.T,建設/建設・土木,建設業,SELL,1598.3799999999999,500,931946.5000000001,0.5238719216227902,,,2026-03-02,early_stop_top
2026-03-03,1879.T,建設/建設・土木,建設業,SELL,2054.0,500,1958946.5,0.3974589973424733,,,2026-03-02,stop_loss
2026-03-04,8387.T,銀行/地方銀行,銀行業,SELL,2161.0,100,2175046.5,0.6403309561185998,,,2026-03-03,stop_loss
2026-03-04,8344.T,銀行/地方銀行,銀行業,SELL,2387.0,100,2413746.5,0.5931905342274113,,,2026-03-03,stop_loss
2026-03-04,4619.T,化学/タイヤ・ゴム,化学,SELL,2339.0,300,3115446.5,0.46068562092307663,,,2026-03-03,stop_loss
2026-03-05,7456.T,卸売/非鉄金属・金属製品,卸売業,BUY,8110.0,100,2304446.5,0.7940609878159284,0.0,0.0,2026-03-04,buy_breakout_up
2026-03-05,8393.T,銀行/地方銀行,銀行業,BUY,9220.0,200,460446.5,0.7711566745272712,0.0,0.0,2026-03-04,buy_breakout_up
2026-03-06,7456.T,卸売/非鉄金属・金属製品,卸売業,SELL,7900.0,100,1250446.5,0.8315124848957791,,,2026-03-05,sell_signal
2026-03-06,8393.T,銀行/地方銀行,銀行業,SELL,9270.0,200,3104446.5,0.8517500651472737,,,2026-03-05,sell_signal
2026-03-10,8393.T,銀行/地方銀行,銀行業,BUY,8880.0,100,2216446.5,0.7795615672468316,0.0,0.0,2026-03-09,buy_breakout_up
2026-03-10,5714.T,225/非鉄金属,非鉄金属,BUY,9811.0,200,254246.5,0.7109863971740973,0.0,0.0,2026-03-09,buy_breakout_up
2026-03-10,8393.T,銀行/地方銀行,銀行業,SELL_END,9170.0,100,1171246.5,,,,,end_of_backtest
2026-03-10,5714.T,225/非鉄金属,非鉄金属,SELL_END,10055.0,200,3182246.5,,,,,end_of_backtest
